run,chosen_moves,k,num_nodes_rollouts,board,num_nodes,correct
62,21,None,9044,6_hard_full,5000,0
63,21,None,9029,6_hard_full,5002,0
64,21,None,9132,6_hard_full,5000,0
65,21,None,9078,6_hard_full,5000,0
66,15,None,9016,6_hard_full,5000,0
67,15,None,8982,6_hard_full,5000,0
68,21,None,9144,6_hard_full,5003,0
69,21,None,9051,6_hard_full,5001,0
70,21,None,9108,6_hard_full,5003,0
71,15,None,8908,6_hard_full,5003,0
72,21,None,8914,6_hard_full,5000,0
73,21,None,8870,6_hard_full,5004,0
74,15,None,9116,6_hard_full,5000,0
75,21,None,9153,6_hard_full,5001,0
76,21,None,9070,6_hard_full,5000,0
77,21,None,9078,6_hard_full,5000,0
78,21,None,8929,6_hard_full,5001,0
79,15,None,8972,6_hard_full,5002,0
80,21,None,8915,6_hard_full,5002,0
81,21,None,9123,6_hard_full,5001,0
82,15,None,9189,6_hard_full,5003,0
83,21,None,8901,6_hard_full,5001,0
84,15,None,9087,6_hard_full,5004,0
85,21,None,8998,6_hard_full,5001,0
86,21,None,9048,6_hard_full,5003,0
87,21,None,8946,6_hard_full,5001,0
88,21,None,9004,6_hard_full,5001,0
89,21,None,9249,6_hard_full,5002,0
90,21,None,9085,6_hard_full,5001,0
91,21,None,8980,6_hard_full,5001,0
92,15,None,8995,6_hard_full,5000,0
93,21,None,9061,6_hard_full,5001,0
94,21,None,9015,6_hard_full,5001,0
95,21,None,8874,6_hard_full,5002,0
96,21,None,8953,6_hard_full,5000,0
97,21,None,8882,6_hard_full,5000,0
98,21,None,8994,6_hard_full,5002,0
99,21,None,9081,6_hard_full,5003,0
0,21,None,7025,6_hard_pruned,5002,0
1,21,None,7149,6_hard_pruned,5002,0
2,21,None,6974,6_hard_pruned,5000,0
3,21,None,6978,6_hard_pruned,5001,0
4,21,None,7038,6_hard_pruned,5002,0
5,21,None,6891,6_hard_pruned,5003,0
6,21,None,7036,6_hard_pruned,5001,0
7,21,None,6926,6_hard_pruned,5002,0
8,21,None,6954,6_hard_pruned,5003,0
9,21,None,7062,6_hard_pruned,5000,0
10,21,None,7022,6_hard_pruned,5001,0
11,21,None,7011,6_hard_pruned,5002,0
12,21,None,7084,6_hard_pruned,5001,0
13,15,None,7119,6_hard_pruned,5004,0
14,21,None,6970,6_hard_pruned,5002,0
15,21,None,7129,6_hard_pruned,5002,0
16,21,None,7002,6_hard_pruned,5002,0
17,21,None,6974,6_hard_pruned,5002,0
18,21,None,7030,6_hard_pruned,5000,0
19,15,None,7103,6_hard_pruned,5000,0
20,21,None,7018,6_hard_pruned,5000,0
21,21,None,7152,6_hard_pruned,5000,0
22,21,None,7052,6_hard_pruned,5002,0
