,board_name,path,path_length,probability
140,6_hard_full,"[[2, 2], [2, 3], [1, 0], [2, 4]]",4,0.005
141,6_hard_full,"[[2, 0], [4, 4], [2, 2], [2, 3], [2, 5], [0, 3], [4, 3], [5, 2], [5, 3], [4, 2]]",10,0.005
142,6_hard_full,"[[5, 0], [2, 3], [2, 0], [5, 3], [5, 5], [0, 3], [3, 0], [2, 4], [1, 0]]",9,0.005
143,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 2], [0, 0], [2, 4], [2, 2], [2, 0], [1, 4], [3, 5]]",10,0.005
144,6_hard_full,"[[5, 0], [2, 3], [2, 0], [5, 3]]",4,0.005
145,6_hard_full,"[[0, 0], [2, 2], [4, 4]]",3,0.005
146,6_hard_full,"[[4, 2], [2, 4], [2, 3], [4, 4], [2, 0], [2, 2]]",6,0.005
147,6_hard_full,"[[1, 5], [2, 3], [0, 3]]",3,0.005
148,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [5, 3], [0, 0], [0, 5], [5, 5], [4, 2]]",9,0.005
149,6_hard_full,"[[1, 4], [2, 2], [2, 4]]",3,0.005
150,6_hard_full,"[[5, 2], [2, 4]]",2,0.005
151,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [0, 5], [3, 2], [3, 4], [2, 2], [2, 4], [5, 3]]",10,0.005
152,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [4, 5], [0, 2], [3, 4], [3, 5]]",8,0.005
153,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [4, 0], [2, 2], [1, 0], [5, 2], [2, 0]]",9,0.005
154,6_hard_full,"[[5, 2], [2, 2], [3, 0], [0, 0], [0, 3], [4, 4], [5, 5], [4, 3], [2, 3], [4, 2]]",10,0.005
155,6_hard_full,"[[2, 0], [2, 2], [1, 5], [0, 0], [4, 4], [0, 3]]",6,0.005
156,6_hard_full,"[[4, 0], [2, 3], [4, 2], [4, 4], [3, 0], [4, 3], [2, 0], [2, 2], [1, 0], [5, 2]]",10,0.005
157,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [2, 3], [0, 0]]",6,0.005
158,6_hard_full,"[[4, 2], [2, 3], [3, 0], [5, 0], [0, 3], [4, 4], [0, 2], [2, 2], [0, 5], [2, 5]]",10,0.005
159,6_hard_full,"[[5, 2], [2, 4], [4, 2], [2, 3]]",4,0.005
160,6_hard_full,"[[2, 0], [2, 2], [4, 3], [0, 0], [4, 4], [4, 2], [2, 4]]",7,0.005
161,6_hard_full,"[[0, 3], [3, 0], [2, 4], [5, 3], [5, 2], [2, 2], [4, 0]]",7,0.005
162,6_hard_full,"[[5, 2], [2, 4], [4, 2]]",3,0.005
163,6_hard_full,"[[2, 3], [2, 2], [4, 2], [0, 0], [4, 4]]",5,0.005
164,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 4], [4, 2], [0, 2], [0, 5], [4, 4], [2, 5]]",9,0.005
165,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [0, 5]]",5,0.005
166,6_hard_full,"[[4, 2], [0, 0], [2, 2], [3, 2], [2, 0]]",5,0.005
167,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 4]]",4,0.005
168,6_hard_full,"[[0, 3], [3, 0], [5, 3], [2, 2]]",4,0.005
169,6_hard_full,"[[4, 2], [4, 4], [2, 2], [3, 2]]",4,0.005
170,6_hard_full,"[[4, 0], [4, 3], [2, 3]]",3,0.005
171,6_hard_full,"[[2, 4], [2, 3], [0, 2], [4, 4], [1, 0], [0, 3], [3, 5], [4, 3], [1, 5]]",9,0.005
172,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [4, 2], [0, 2], [2, 2], [3, 5]]",8,0.005
173,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [2, 3], [2, 2], [0, 0], [5, 2]]",8,0.005
174,6_hard_full,"[[2, 3], [0, 0], [2, 2], [0, 5], [0, 3], [1, 5], [3, 2]]",7,0.005
175,6_hard_full,"[[2, 0], [2, 2], [1, 5]]",3,0.005
176,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [1, 5], [5, 2], [0, 5], [4, 2], [5, 3], [0, 0]]",10,0.005
177,6_hard_full,"[[3, 0], [0, 3], [2, 3], [4, 2], [2, 4], [2, 2], [4, 5]]",7,0.005
178,6_hard_full,"[[4, 2], [4, 4], [2, 2], [3, 2], [0, 3], [3, 0], [2, 0], [0, 5]]",8,0.005
179,6_hard_full,"[[1, 4], [4, 2], [2, 4], [3, 4]]",4,0.005
180,6_hard_full,"[[0, 5], [2, 4], [4, 2], [4, 4], [5, 3], [0, 0], [2, 0]]",7,0.005
181,6_hard_full,"[[0, 3], [3, 0], [2, 2], [0, 2], [2, 3], [3, 5], [4, 2], [2, 0]]",8,0.005
182,6_hard_full,"[[2, 3], [5, 3], [5, 2], [2, 4], [4, 2]]",5,0.005
183,6_hard_full,"[[2, 4], [5, 3], [5, 2], [0, 3], [2, 3], [2, 2]]",6,0.005
184,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [2, 2], [3, 5]]",6,0.005
185,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [5, 5]]",5,0.005
186,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 2], [5, 2], [0, 0], [4, 4]]",7,0.005
187,6_hard_full,"[[2, 3], [2, 2], [1, 0], [0, 0], [4, 4], [0, 3], [0, 2], [2, 4], [4, 2], [4, 3]]",10,0.005
188,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [0, 5]]",5,0.01
189,6_hard_full,"[[4, 2], [0, 0], [2, 2], [3, 2], [2, 0], [1, 5], [5, 3]]",7,0.005
190,6_hard_full,"[[1, 4], [2, 3]]",2,0.01
191,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [2, 3], [0, 0], [2, 2], [1, 0]]",8,0.005
192,6_hard_full,"[[4, 2], [2, 2], [5, 2], [2, 3], [4, 3], [0, 0], [4, 0], [4, 4]]",8,0.005
193,6_hard_full,"[[0, 2], [2, 3], [2, 4], [5, 3], [4, 3], [2, 2], [3, 0], [4, 4]]",8,0.005
194,6_hard_full,"[[2, 2], [2, 4], [4, 2]]",3,0.005
195,6_hard_full,"[[0, 3], [3, 0], [0, 2], [0, 5], [2, 2], [3, 2], [2, 0], [2, 3], [4, 0], [5, 3]]",10,0.005
196,6_hard_full,"[[3, 2], [4, 3], [2, 3], [1, 5], [1, 4]]",5,0.005
197,6_hard_full,"[[1, 5]]",1,0.005
198,6_hard_full,"[[0, 3], [3, 0], [4, 3]]",3,0.01
199,6_hard_full,"[[0, 3], [3, 0], [4, 2], [2, 2], [5, 2], [0, 0], [4, 4], [4, 3], [2, 3], [1, 0]]",10,0.005
200,6_hard_full,"[[3, 0], [0, 3], [2, 3], [2, 2], [2, 4], [4, 4], [1, 0], [0, 0], [3, 2], [0, 2]]",10,0.005
201,6_hard_full,"[[2, 2], [4, 3], [2, 3], [1, 4], [3, 2], [3, 0], [0, 2], [0, 0], [5, 0]]",9,0.005
202,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0]]",4,0.065
203,6_hard_full,"[[4, 2], [2, 3], [0, 5]]",3,0.005
204,6_hard_full,"[[0, 2], [2, 2], [2, 0], [4, 4]]",4,0.005
205,6_hard_full,"[[4, 3], [0, 3], [2, 3], [2, 2]]",4,0.005
206,6_hard_full,"[[1, 5], [2, 3], [0, 3], [5, 3], [3, 0], [0, 0], [5, 0]]",7,0.005
207,6_hard_full,"[[4, 2], [2, 3], [3, 2], [0, 0], [4, 3], [0, 3], [5, 3], [0, 2], [4, 0], [4, 4]]",10,0.005
208,6_hard_full,"[[2, 2], [0, 3], [2, 3], [0, 0], [2, 0], [0, 2], [1, 4]]",7,0.005
209,6_hard_full,"[[0, 5], [2, 2], [3, 4]]",3,0.005
210,6_hard_full,"[[2, 3], [4, 2], [2, 4], [2, 2], [1, 0], [4, 4], [5, 5], [5, 2]]",8,0.005
211,6_hard_full,"[[2, 4], [2, 2], [4, 4], [0, 0], [4, 2], [4, 3], [2, 3], [1, 4], [2, 0]]",9,0.005
212,6_hard_full,"[[2, 3], [4, 4], [2, 2], [2, 0]]",4,0.005
213,6_hard_full,"[[2, 3], [5, 2], [5, 3], [2, 2], [1, 0], [0, 0], [4, 4], [3, 2], [4, 2]]",9,0.005
214,6_hard_full,"[[2, 2], [0, 3], [2, 3], [2, 4]]",4,0.005
215,6_hard_full,"[[0, 3], [3, 0], [2, 3], [3, 2], [2, 2], [0, 2]]",6,0.005
216,6_hard_full,"[[0, 2], [2, 2], [2, 0], [4, 4], [1, 4], [2, 3], [2, 5], [0, 0], [0, 5]]",9,0.005
217,6_hard_full,"[[4, 3], [0, 0], [2, 2], [0, 2]]",4,0.005
218,6_hard_full,"[[2, 4], [2, 2], [2, 0], [2, 3], [4, 3], [0, 0], [4, 0], [4, 4], [1, 0], [5, 2]]",10,0.005
219,6_hard_full,"[[2, 2], [2, 3], [0, 3], [4, 3], [0, 2], [3, 2], [3, 0], [3, 4], [0, 5]]",9,0.005
220,6_hard_full,"[[2, 2], [2, 3], [4, 0], [5, 2], [2, 0], [5, 3]]",6,0.005
221,6_hard_full,"[[0, 2], [2, 2], [3, 2], [0, 0], [4, 4], [2, 3], [4, 3], [2, 4], [0, 3], [2, 5]]",10,0.005
222,6_hard_full,"[[0, 3], [3, 0], [2, 3], [2, 2], [1, 4], [2, 4], [0, 5], [0, 0], [3, 2]]",9,0.005
223,6_hard_full,"[[0, 3]]",1,0.225
224,6_hard_full,"[[2, 0], [2, 2], [1, 5], [0, 0], [4, 4], [0, 3], [4, 5], [2, 3], [1, 4]]",9,0.005
225,6_hard_full,"[[4, 2], [2, 3], [4, 4], [4, 3], [1, 4], [5, 3], [5, 0], [0, 3], [5, 2]]",9,0.005
226,6_hard_full,"[[0, 3], [3, 0], [3, 2], [2, 2], [4, 0], [0, 0], [4, 4], [2, 4], [4, 2]]",9,0.005
227,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [4, 0]]",5,0.01
228,6_hard_full,"[[0, 3], [3, 0], [2, 4], [2, 2], [3, 5], [4, 4]]",6,0.005
229,6_hard_full,"[[4, 2], [4, 3], [2, 3], [2, 2], [5, 2], [5, 5]]",6,0.005
230,6_hard_full,"[[0, 3], [3, 0], [0, 5], [0, 2], [2, 3], [3, 2], [2, 0], [2, 2], [3, 4]]",9,0.005
231,6_hard_full,"[[2, 2], [2, 4], [4, 2], [3, 2], [3, 0], [0, 3], [2, 3], [2, 0], [4, 3]]",9,0.005
232,6_hard_full,"[[0, 3], [3, 0], [4, 3], [0, 0], [2, 2], [5, 3], [5, 2]]",7,0.005
233,6_hard_full,"[[3, 0], [0, 3], [2, 3], [0, 0], [4, 4]]",5,0.01
