board,max_moves,noise_sig,shutter_size,numberOfHeuristicComp,correct
10_hard_pruned,30,1.5,0.0,353.532,0.104
10_hard_pruned,30,1.5,0.5,711.77,0.114
10_hard_pruned,30,1.5,1.0,876.408,0.1
10_hard_pruned,30,1.5,2.0,1287.814,0.11
10_hard_pruned,50,0.5,0.0,532.808,0.126
10_hard_pruned,50,0.5,0.5,1151.594,0.15
10_hard_pruned,50,0.5,1.0,1406.04,0.136
10_hard_pruned,50,0.5,2.0,2100.178,0.114
10_hard_pruned,50,1.0,0.0,532.952,0.134
10_hard_pruned,50,1.0,0.5,1131.702,0.126
10_hard_pruned,50,1.0,1.0,1408.992,0.118
10_hard_pruned,50,1.0,2.0,2068.782,0.128
10_hard_pruned,50,1.5,0.0,539.442,0.082
10_hard_pruned,50,1.5,0.5,1120.566,0.122
10_hard_pruned,50,1.5,1.0,1396.174,0.1
10_hard_pruned,50,1.5,2.0,2048.87,0.11
10_hard_pruned,100,0.5,0.0,821.996,0.112
10_hard_pruned,100,0.5,1.0,2155.394,0.118
10_hard_pruned,100,0.5,2.0,3319.336,0.146
10_hard_pruned,100,1.0,0.0,839.616,0.114
10_hard_pruned,100,1.0,1.0,2155.898,0.134
10_hard_pruned,100,1.0,2.0,3389.476,0.108
10_hard_pruned,100,1.5,0.0,842.86,0.062
10_hard_pruned,100,1.5,1.0,2179.4,0.098
10_hard_pruned,100,1.5,2.0,3257.782,0.12
10_medium_full,30,0.5,0.0,397.656,0.106
10_medium_full,30,0.5,0.5,831.492,0.13
10_medium_full,30,0.5,1.0,989.778,0.088
10_medium_full,30,0.5,2.0,1389.756,0.098
10_medium_full,30,1.0,0.0,393.72,0.086
10_medium_full,30,1.0,0.5,821.81,0.06
10_medium_full,30,1.0,1.0,984.056,0.102
10_medium_full,30,1.0,2.0,1384.214,0.098
10_medium_full,30,1.5,0.0,391.602,0.094
10_medium_full,30,1.5,0.5,807.848,0.096
10_medium_full,30,1.5,1.0,967.724,0.084
10_medium_full,30,1.5,2.0,1366.088,0.078
10_medium_full,50,0.5,0.0,601.37,0.094
10_medium_full,50,0.5,0.5,1321.844,0.112
10_medium_full,50,0.5,1.0,1588.852,0.114
10_medium_full,50,0.5,2.0,2264.2,0.104
10_medium_full,50,1.0,0.0,600.452,0.076
10_medium_full,50,1.0,0.5,1310.022,0.084
10_medium_full,50,1.0,1.0,1582.284,0.082
10_medium_full,50,1.0,2.0,2267.214,0.096
10_medium_full,50,1.5,0.0,598.018,0.082
10_medium_full,50,1.5,0.5,1306.808,0.074
10_medium_full,50,1.5,1.0,1574.312,0.078
10_medium_full,50,1.5,2.0,2240.302,0.102
10_medium_full,100,0.5,0.0,994.832,0.102
10_medium_full,100,0.5,1.0,2729.002,0.07
10_medium_full,100,0.5,2.0,3915.018,0.104
10_medium_full,100,1.0,0.0,997.752,0.084
10_medium_full,100,1.0,1.0,2762.76,0.086
10_medium_full,100,1.0,2.0,3930.662,0.092
10_medium_full,100,1.5,0.0,977.098,0.092
10_medium_full,100,1.5,1.0,2736.348,0.074
10_medium_full,100,1.5,2.0,3955.144,0.078
10_medium_pruned,30,0.5,0.0,365.384,0.296
10_medium_pruned,30,0.5,0.5,768.8,0.314
10_medium_pruned,30,0.5,1.0,899.538,0.35
10_medium_pruned,30,0.5,2.0,1239.654,0.37
10_medium_pruned,30,1.0,0.0,358.51,0.312
10_medium_pruned,30,1.0,0.5,750.936,0.306
10_medium_pruned,30,1.0,1.0,892.216,0.3
10_medium_pruned,30,1.0,2.0,1218.146,0.342
10_medium_pruned,30,1.5,0.0,355.766,0.264
10_medium_pruned,30,1.5,0.5,736.894,0.274
10_medium_pruned,30,1.5,1.0,882.992,0.276
10_medium_pruned,30,1.5,2.0,1202.154,0.282
10_medium_pruned,50,0.5,0.0,396.294,0.294
10_medium_pruned,50,0.5,0.5,848.612,0.344
10_medium_pruned,50,0.5,1.0,1033.784,0.342
10_medium_pruned,50,0.5,2.0,1446.86,0.34
10_medium_pruned,50,1.0,0.0,394.504,0.268
10_medium_pruned,50,1.0,0.5,843.872,0.296
10_medium_pruned,50,1.0,1.0,1008.254,0.32
10_medium_pruned,50,1.0,2.0,1392.776,0.3
10_medium_pruned,50,1.5,0.0,393.07,0.238
10_medium_pruned,50,1.5,0.5,848.4,0.274
10_medium_pruned,50,1.5,1.0,1029.812,0.326
10_medium_pruned,50,1.5,2.0,1398.668,0.316
10_medium_pruned,100,0.5,0.0,406.872,0.372
10_medium_pruned,100,0.5,1.0,1038.004,0.336
10_medium_pruned,100,0.5,2.0,1429.494,0.338
10_medium_pruned,100,1.0,0.0,400.248,0.27
10_medium_pruned,100,1.0,1.0,1038.086,0.32
10_medium_pruned,100,1.0,2.0,1416.722,0.354
10_medium_pruned,100,1.5,0.0,392.8,0.248
10_medium_pruned,100,1.5,1.0,1028.978,0.284
10_medium_pruned,100,1.5,2.0,1394.746,0.268
6_easy_full,30,0.5,0.0,74.062,0.608
6_easy_full,30,0.5,0.5,117.116,0.7
6_easy_full,30,0.5,1.0,134.994,0.716
6_easy_full,30,0.5,2.0,179.97,0.644
6_easy_full,30,1.0,0.0,75.718,0.566
6_easy_full,30,1.0,0.5,120.13,0.612
6_easy_full,30,1.0,1.0,136.844,0.646
6_easy_full,30,1.0,2.0,181.854,0.624
6_easy_full,30,1.5,0.0,76.29,0.508
6_easy_full,30,1.5,0.5,122.372,0.56
6_easy_full,30,1.5,1.0,135.736,0.512
6_easy_full,30,1.5,2.0,182.42,0.536
6_easy_full,50,0.5,0.0,109.09,0.556
6_easy_full,50,0.5,0.5,179.706,0.722
6_easy_full,50,0.5,1.0,207.822,0.692
6_easy_full,50,0.5,2.0,281.662,0.682
6_easy_full,50,1.0,0.0,112.558,0.456
6_easy_full,50,1.0,0.5,179.418,0.574
6_easy_full,50,1.0,1.0,205.828,0.568
6_easy_full,50,1.0,2.0,286.032,0.58
6_easy_full,50,1.5,0.0,111.676,0.43
6_easy_full,50,1.5,0.5,179.558,0.496
6_easy_full,50,1.5,1.0,208.84,0.498
6_easy_full,50,1.5,2.0,281.414,0.486
6_easy_full,100,0.5,0.0,168.814,0.524
6_easy_full,100,0.5,1.0,305.25,0.642
6_easy_full,100,0.5,2.0,416.868,0.63
6_easy_full,100,1.0,0.0,174.754,0.402
6_easy_full,100,1.0,1.0,312.764,0.546
6_easy_full,100,1.0,2.0,430.962,0.576
6_easy_full,100,1.5,0.0,173.456,0.406
6_easy_full,100,1.5,1.0,311.378,0.526
6_easy_full,100,1.5,2.0,440.63,0.46
6_easy_pruned,30,0.5,0.0,64.874,0.83
6_easy_pruned,30,0.5,0.5,101.116,0.85
6_easy_pruned,30,0.5,1.0,117.294,0.88
6_easy_pruned,30,0.5,2.0,153.038,0.862
6_easy_pruned,30,1.0,0.0,66.92,0.784
6_easy_pruned,30,1.0,0.5,107.146,0.806
6_easy_pruned,30,1.0,1.0,123.786,0.818
6_easy_pruned,30,1.0,2.0,156.34,0.82
6_easy_pruned,30,1.5,0.0,67.86,0.71
6_easy_pruned,30,1.5,0.5,107.102,0.772
6_easy_pruned,30,1.5,1.0,122.12,0.778
6_easy_pruned,30,1.5,2.0,157.132,0.788
6_easy_pruned,50,0.5,0.0,68.974,0.842
6_easy_pruned,50,0.5,0.5,110.786,0.868
6_easy_pruned,50,0.5,1.0,124.892,0.896
6_easy_pruned,50,0.5,2.0,161.18,0.888
6_easy_pruned,50,1.0,0.0,72.094,0.772
6_easy_pruned,50,1.0,0.5,113.79,0.808
