chosen_moves,board,run,correct,num_nodes
21,6_hard_pruned,0,0,3032
21,6_hard_pruned,1,0,3014
28,6_hard_pruned,2,0,3116
21,6_hard_pruned,3,0,3174
16,6_hard_pruned,4,0,3369
28,6_hard_pruned,5,0,3191
17,6_hard_pruned,6,0,3042
16,6_hard_pruned,7,0,3120
21,6_hard_pruned,8,0,3203
15,6_hard_pruned,9,0,2999
17,6_hard_pruned,10,0,3067
11,6_hard_pruned,11,0,3108
15,6_hard_pruned,12,0,3009
27,6_hard_pruned,13,0,3573
16,6_hard_pruned,14,0,3017
28,6_hard_pruned,15,0,3030
28,6_hard_pruned,16,0,3117
28,6_hard_pruned,17,0,3128
21,6_hard_pruned,18,0,3151
27,6_hard_pruned,19,0,3006
28,6_hard_pruned,20,0,3121
3,6_hard_pruned,21,1,4209
21,6_hard_pruned,22,0,3033
28,6_hard_pruned,23,0,3026
21,6_hard_pruned,24,0,3169
15,6_hard_pruned,25,0,3001
15,6_hard_pruned,26,0,3021
27,6_hard_pruned,27,0,3033
27,6_hard_pruned,28,0,3033
7,6_hard_pruned,29,0,3014
15,6_hard_pruned,30,0,2997
31,6_hard_pruned,31,0,3053
16,6_hard_pruned,32,0,3568
27,6_hard_pruned,33,0,3050
23,6_hard_pruned,34,0,3266
17,6_hard_pruned,35,0,3036
16,6_hard_pruned,36,0,3105
27,6_hard_pruned,37,0,3010
16,6_hard_pruned,38,0,3005
30,6_hard_pruned,39,0,3152
16,6_hard_pruned,40,0,3016
11,6_hard_pruned,41,0,3009
16,6_hard_pruned,42,0,3068
16,6_hard_pruned,43,0,3097
31,6_hard_pruned,44,0,3064
7,6_hard_pruned,45,0,3035
23,6_hard_pruned,46,0,3097
21,6_hard_pruned,47,0,3000
27,6_hard_pruned,48,0,3074
11,6_hard_pruned,49,0,3018
