,userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
254,2fb4f99a,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.328700705,-2.282110153,-1.927450547,-1.594754604,-1.535987765,-1.501857006,-1.444005559
255,34b12db9,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.781988683,-3.760127116,-3.45860983,-3.255698836,-3.252360159,-2.591751984,-2.578791964
256,65f68460,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.355047161,-3.119226283,-2.761398879,-2.229661089,-2.209675921,-2.14000431,-2.120214136
257,75ffd9e8,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.669730281,-4.008646461,-3.778137171,-3.664024395,-3.6172446,-2.696624662,-2.681966383
258,7cf6845b,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.75893617,-3.825733714,-3.622698757,-3.529336123,-3.538120111,-2.903825058,-2.902918532
259,84dbf4f9,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.532275393,-3.063638909,-2.749352855,-2.339403515,-2.318561293,-1.900139663,-1.893720902
260,87cfed83,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.243568437,-3.767750908,-3.228626787,-2.146308259,-2.083348276,-2.018607509,-1.953990363
261,8bc69c49,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.569174147,-3.477246846,-3.261282263,-3.138776148,-3.125167731,-2.702158271,-2.687693474
262,92e6f512,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.360319517,-2.3000212,-1.942934682,-1.493558702,-1.480902918,-1.413067475,-1.401039942
263,98d105c1,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.258994317,-2.806041279,-2.472933575,-1.925648524,-1.925297026,-1.692040772,-1.687198248
264,9befd8ad,10_hard_full,10,hard,full,blocking,0.05,25,-3.392605666,-3.017522872,-2.650235942,-2.193260333,-2.17391682,-2.478685452,-2.456411938
265,a3eacaa9,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.808324293,-3.257139286,-2.99080882,-2.723096595,-2.703439029,-2.366186091,-2.335874264
266,a4f74985,10_hard_full,10,hard,full,blocking,0.05,25,-3.626480238,-3.130095453,-2.915006967,-2.767554857,-2.754671341,-3.102225787,-3.107514342
267,abc728e1,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.522659772,-2.302139677,-1.980856287,-1.503835487,-1.485951875,-1.419787115,-1.402427684
268,aceaccbc,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.418725109,-3.397197276,-3.097575419,-2.618648771,-2.610381081,-2.189434411,-2.171338784
269,add50f98,10_hard_full,10,hard,full,interaction_blind,0.05,25,-3.757204971,-3.83258564,-3.651264245,-3.202574568,-3.221455629,-2.622704877,-2.635831362
270,b1ebd3b5,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.221165398,-3.885724852,-3.378404612,-2.786778542,-2.627173271,-2.707274102,-2.549047775
271,b5b6dcbc,10_hard_full,10,hard,full,blocking,0.05,25,-3.856918524,-3.891561296,-3.678392038,-3.501884906,-3.497460653,-4.116495901,-4.132676827
272,d2ac158a,10_hard_full,10,hard,full,interaction_blind,0.05,25,-3.294465354,-2.790769475,-2.495044503,-2.208212746,-2.204965317,-2.046267683,-2.050146211
273,edf12206,10_hard_full,10,hard,full,interaction_blind,0.05,25,-3.701217797,-3.742155156,-3.543415828,-3.087345207,-3.092927665,-2.43670343,-2.448483308
274,f0ebc21e,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.632314139,-3.782694727,-3.572670834,-3.267814812,-3.25810265,-2.161342822,-2.152121404
275,f6fbf7bf,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.797887406,-4.093277041,-3.957366635,-3.817288571,-3.783476776,-2.617332856,-2.587260144
276,f7ebbfe9,10_hard_full,10,hard,full,blocking_blind,0.05,25,-3.905876482,-4.301793534,-4.137727268,-3.980012969,-3.962228161,-3.568950468,-3.550498217
277,13b7468e,10_hard_pruned,10,hard,pruned,interaction_blind,0.05,25,-3.241954366,-3.547882552,-3.267936883,-2.626054376,-2.6346011,-1.694386829,-1.721360327
278,13dbbfb8,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.8251912,-3.53625461,-3.372530526,-2.84293923,-2.838759899,-2.273628989,-2.261660284
279,16f6e58d,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.538776591,-3.029253753,-2.767849904,-2.520562682,-2.470618377,-2.509060874,-2.463835587
280,18a695e2,10_hard_pruned,10,hard,pruned,interaction_blind,0.05,25,-3.226016901,-4.223078733,-4.016708632,-3.945492437,-3.937630826,-2.941464852,-2.952428641
281,1bd72c42,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.082972839,-3.762371153,-3.370415836,-3.106487071,-3.079824976,-3.030354425,-3.004379937
282,28d4fefb,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.404436398,-3.470376483,-3.200030143,-2.887338724,-2.880631848,-2.432966421,-2.422554264
283,31f6a576,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.495507193,-3.533583438,-3.306271568,-3.1233429,-3.115927987,-2.787010138,-2.774349673
284,32fad07f,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-2.906637308,-2.943863495,-2.565522884,-2.270153399,-2.266857505,-2.184273288,-2.182073091
285,41bad9a2,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.32732217,-3.506527187,-3.190923031,-2.963733313,-2.937919013,-3.228801491,-3.24190401
286,4bfffc8c,10_hard_pruned,10,hard,pruned,interaction_blind,0.05,25,-3.459031634,-4.894355034,-4.750137643,-4.827289788,-4.818222367,-2.830382839,-2.843334459
287,50f6b001,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.871476316,-4.127938891,-3.916343833,-3.788258338,-3.72676932,-3.747121178,-3.733719558
288,5bc4f225,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.034719396,-2.417825871,-2.035596511,-1.60017057,-1.592893131,-1.50806347,-1.50183052
289,77ba7edc,10_hard_pruned,10,hard,pruned,density,0.05,25,-3.621136435,-4.049298842,-3.911782992,-4.033520712,-4.027770703,-4.217494754,-4.206008193
290,7dea8d37,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.519046215,-3.001972719,-2.75471031,-2.444388113,-2.399474564,-2.461895056,-2.430107772
291,7ef11f8d,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.538592672,-3.53226416,-3.319698085,-3.199005328,-3.155461608,-3.30204501,-3.280995366
292,8aa6d830,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.372679264,-2.766591988,-2.462691017,-2.036370209,-2.029423591,-1.872986798,-1.862327079
293,8ea50714,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.526550845,-3.085117269,-2.799624077,-2.54807071,-2.488967874,-3.344669269,-3.30198733
294,98c10b8a,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.422843416,-2.625409743,-2.339243447,-1.967123147,-1.955338719,-2.581810075,-2.585614178
295,acdac85f,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.484379556,-3.417251515,-3.168307366,-3.06499906,-3.004489684,-3.730670345,-3.727807001
296,b8bac8b7,10_hard_pruned,10,hard,pruned,interaction_blind,0.05,25,-3.515139938,-3.697091798,-3.48116657,-3.183987627,-3.196249761,-2.60391159,-2.60643311
297,bacbc468,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.400148527,-2.173823982,-1.810499486,-1.108485479,-1.098297064,-1.018490275,-1.009764146
298,bcf51783,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.784548598,-2.762446361,-2.469795755,-2.132312856,-2.134762542,-1.86025301,-1.859682638
299,c2cbff2e,10_hard_pruned,10,hard,pruned,density,0.05,25,-2.273120376,-5.082302429,-4.574952327,-4.369573013,-4.342049465,-4.223577583,-4.196737076
300,cce7504c,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.503562264,-3.489702058,-3.316493674,-3.206074867,-3.17700869,-3.273478326,-3.27305602
301,cdc514e1,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.313536672,-3.44221139,-3.160007014,-2.828090289,-2.805631287,-2.336624877,-2.322033922
302,d1cac84b,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.690840197,-4.188661334,-4.048275215,-4.014864012,-3.997237502,-3.527921549,-3.515466224
303,d9e4f7e5,10_hard_pruned,10,hard,pruned,interaction_blind,0.05,25,-2.574982375,-3.456763644,-3.154176145,-3.195034129,-3.180670909,-2.486305113,-2.503208958
304,e2b10de5,10_hard_pruned,10,hard,pruned,interaction_blind,0.05,25,-3.520417881,-3.415640499,-3.140928094,-2.873318775,-2.855174218,-2.68135801,-2.687097471
305,e6efec72,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.550836636,-3.22864481,-2.983293493,-2.560999286,-2.550898448,-2.053361011,-2.021056549
306,edfff93e,10_hard_pruned,10,hard,pruned,blocking,0.05,25,-3.544663429,-2.96767147,-2.670416469,-2.290899584,-2.247150244,-3.124035076,-3.117494634
307,efd4fa4a,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.790750286,-3.300715225,-3.108551084,-2.93801083,-2.929019449,-2.222226047,-2.214657703
308,f3f4f4ae,10_hard_pruned,10,hard,pruned,interaction_blind,0.05,25,-3.510859712,-4.220388188,-3.963934708,-4.159787763,-4.13443722,-2.78669847,-2.810103769
309,f4c4f33c,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.440869511,-3.635318616,-3.325394316,-2.935414767,-2.935327522,-2.822028637,-2.818074537
310,fcb764e3,10_hard_pruned,10,hard,pruned,blocking_blind,0.05,25,-3.498207715,-2.804443825,-2.51532784,-2.159453073,-2.135011773,-1.823848034,-1.797769432
311,12eacae6,6_easy_full,6,easy,full,density,0.05,25,-2.909276978,-4.106511271,-4.009899462,-3.995115117,-3.980638875,-4.6010855,-4.61622202
312,25dfef96,6_easy_full,6,easy,full,blocking_blind,0.05,25,-2.58580303,-1.586073583,-1.380642671,-1.396274883,-1.267134166,-1.088648065,-1.004148709
313,2aabe76a,6_easy_full,6,easy,full,non-linear,0.05,25,-2.735498399,-1.617001295,-1.453704272,-1.625506216,-1.484547767,-1.738146485,-1.694696804
314,2bcfe659,6_easy_full,6,easy,full,density,0.05,25,-3.005895554,-3.071406037,-3.087230773,-3.557292075,-3.461723624,-3.217115883,-3.224402005
315,32b10037,6_easy_full,6,easy,full,density,0.05,25,-2.877911865,-3.332326338,-3.283264346,-3.470483615,-3.40653608,-3.981414289,-3.990048177
316,34cffc40,6_easy_full,6,easy,full,interaction_blind,0.05,25,-3.025963008,-2.51545033,-2.557365108,-2.757749268,-2.775163533,-2.121598728,-2.232470607
317,38abe966,6_easy_full,6,easy,full,blocking_blind,0.05,25,-2.501634455,-1.236732846,-1.038171664,-0.779078514,-0.726073778,-0.605041435,-0.594441004
318,3acff9fa,6_easy_full,6,easy,full,density,0.05,25,-2.34191554,-3.248793081,-3.126565079,-3.108657047,-3.100721515,-3.855641605,-3.76006507
319,3bac0799,6_easy_full,6,easy,full,interaction_blind,0.05,25,-2.381531082,-1.390756178,-1.208076146,-0.925973235,-0.902064912,-0.758059595,-0.775455806
320,3fcbc0ab,6_easy_full,6,easy,full,interaction,0.05,25,-2.803219879,-2.366482939,-2.304208683,-2.228177732,-2.256997327,-4.669571249,-4.73592793
321,40a74de0,6_easy_full,6,easy,full,interaction,0.05,25,-2.719371524,-1.887117318,-1.740790111,-1.573400043,-1.578754088,-3.263724865,-3.295691341
322,4ed755f1,6_easy_full,6,easy,full,interaction_blind,0.05,25,-3.026327445,-2.78498315,-2.825636754,-3.096848716,-3.12669044,-2.614314906,-2.690780644
323,59d51c4c,6_easy_full,6,easy,full,non-linear,0.05,25,-2.848924672,-2.408810579,-2.323461188,-2.384244112,-2.33128305,-4.886504574,-4.926735808
324,5acfeabc,6_easy_full,6,easy,full,interaction_blind,0.05,25,-2.290018105,-1.272972335,-1.108698229,-0.794081214,-0.793312114,-0.661309211,-0.687520786
325,5de11557,6_easy_full,6,easy,full,non-linear,0.05,25,-2.918537733,-2.530875883,-2.522165989,-2.652508213,-2.663887841,-3.40746641,-3.447187615
326,6bca8117,6_easy_full,6,easy,full,non-linear,0.05,25,-2.577875021,-1.907684378,-1.79021127,-1.984195939,-1.915151068,-3.389658094,-3.39942837
327,86f6e2cb,6_easy_full,6,easy,full,density,0.05,25,-2.705198222,-3.017355226,-2.928472228,-3.003851153,-2.962175694,-4.314927933,-4.278417297
328,8df4f6e8,6_easy_full,6,easy,full,blocking,0.05,25,-2.760024033,-1.703944181,-1.592666336,-1.481476502,-1.468404801,-2.094261128,-2.140204985
329,9bf4f2c6,6_easy_full,6,easy,full,blocking_blind,0.05,25,-2.423537703,-2.890371758,-2.233592222,-2.481617161,-2.019962259,-2.070941981,-1.748797197
330,9defd82d,6_easy_full,6,easy,full,density,0.05,25,-2.588441251,-2.772176918,-2.667543568,-2.669285685,-2.650150515,-5.275549081,-5.24973502
331,a6bff327,6_easy_full,6,easy,full,density,0.05,25,-2.755985322,-3.301331726,-3.24926812,-3.643053691,-3.538479132,-3.310501208,-3.305593245
332,aedbea55,6_easy_full,6,easy,full,blocking_blind,0.05,25,-2.560213985,-1.243049025,-1.047055363,-0.853886273,-0.784796826,-0.695707585,-0.667624974
333,b3e4f78d,6_easy_full,6,easy,full,density,0.05,25,-1.527942009,-3.572835592,-3.378746284,-3.622441867,-3.55354076,-4.044513469,-3.977095676
