,board,likelihoods_block,likelihoods_density,likelihoods_interaction,move_number_in_path,userid
76,6_hard_full,-6.11621104151,-3.25795660099,-5.8201996385,7,17e120dd
77,6_hard_full,-1.50744507654,-2.78518716976,-2.15847096712,1,17e120dd
78,6_hard_full,-9.21034037198,-3.79507946982,-9.21034037198,2,17e120dd
79,6_hard_full,0.0,-3.79507946982,0.0,2,17e120dd
80,6_hard_full,-2.16788570783,-2.42377190883,-1.8038252441,3,17e120dd
81,6_hard_full,-0.695243705726,-2.43163039394,-0.348628127002,4,17e120dd
82,6_hard_full,-1.50744507654,-2.78518716976,-2.15847096712,1,17e120dd
83,6_hard_full,0.0,-3.79507946982,0.0,2,17e120dd
84,6_hard_full,-2.48028856443,-2.17250762922,-2.11624765502,3,17e120dd
85,6_hard_full,-2.14652864573,-2.69702018106,-2.45645549137,4,17e120dd
86,6_hard_full,0.0,-2.94447896317,0.0,5,17e120dd
87,6_hard_full,-2.84846691625,-2.34626125788,-2.13632214676,6,17e120dd
88,6_hard_full,-1.83548767838,-2.59751601787,-1.96008856979,6,17e120dd
89,6_hard_full,0.0,-2.78506722253,0.0,7,17e120dd
90,6_hard_full,-3.97616856739,-2.91234266753,-3.03511821077,8,17e120dd
91,6_hard_full,-6.4284537831,-2.62714445238,-6.33929199069,9,17e120dd
92,6_hard_full,0.0,-2.94447896317,0.0,5,17e120dd
93,6_hard_full,-4.54178502511,-2.93388086053,-3.83042090063,6,17e120dd
94,6_hard_full,-3.925663539,-2.59751601787,-3.21385935294,6,17e120dd
95,6_hard_full,-0.885690952408,-2.00905482249,-0.756182834963,7,17e120dd
96,6_hard_full,-2.8903717579,-2.62716444538,-2.8903717579,8,17e120dd
97,6_hard_full,-0.377356217629,-2.04140628293,-0.155108492101,9,17e120dd
98,6_hard_full,-1.50744507654,-2.78518716976,-2.15847096712,1,18dac9ef
99,6_hard_full,0.0,-3.79507946982,0.0,2,18dac9ef
100,6_hard_full,-1.71451938673,-3.27076893,-3.26016696971,3,18dac9ef
101,6_hard_full,-9.21034037198,-2.77270867666,-9.21034037198,4,18dac9ef
102,6_hard_full,-0.226443170036,-2.52589858738,-0.226443170036,5,18dac9ef
103,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,20bfd7bd
104,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,20bfd7bd
105,6_hard_full,-3.13549421593,-2.20977235854,-3.13549421593,3,20bfd7bd
106,6_hard_full,-1.25266930711,-2.70819014932,-1.18457833291,4,20bfd7bd
107,6_hard_full,-0.914708299144,-2.79737330044,-0.795942591524,5,20bfd7bd
108,6_hard_full,-2.25662774709,-2.44880747886,-1.92240354918,1,20bfd7bd
109,6_hard_full,-3.36360574036,-2.8566021516,-4.87607711582,2,20bfd7bd
110,6_hard_full,0.0,-2.39813519123,0.0,3,20bfd7bd
111,6_hard_full,-3.09104245336,-3.42300304629,-3.09104245336,4,20bfd7bd
112,6_hard_full,-1.10043945171,-3.1245301607,-0.845129483268,5,20bfd7bd
113,6_hard_full,-3.14798508369,-3.29579688679,-2.81383892739,1,22dac859
114,6_hard_full,-4.82048508305,-3.29579688679,-4.48691135477,1,22dac859
115,6_hard_full,-3.06321018591,-3.12459013371,-3.77410317859,2,22dac859
116,6_hard_full,-2.25662774709,-2.44880747886,-1.92240354918,1,22dac859
117,6_hard_full,-1.17931642242,-2.5202293139,-0.907668293771,2,22dac859
118,6_hard_full,-3.13549421593,-2.80953064469,-3.13549421593,3,22dac859
119,6_hard_full,-3.60587151283,-2.70819014932,-4.75820661792,4,22dac859
120,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,22dac859
121,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,22dac859
122,6_hard_full,-4.57257058785,-3.29579688679,-4.23884207918,1,22dac859
123,6_hard_full,-1.7401738333,-2.44880747886,-3.16339432813,1,22dac859
124,6_hard_full,0.0,-3.12459013371,0.0,2,22dac859
125,6_hard_full,-9.21034037198,-2.29026872452,-9.21034037198,3,22dac859
126,6_hard_full,-3.60229862608,-2.93392084373,-5.09350491429,4,22dac859
127,6_hard_full,-3.04452243772,-2.48508659041,-3.04452243772,5,22dac859
128,6_hard_full,-1.35867551222,-2.36731022357,-1.22142575536,6,22dac859
129,6_hard_full,-1.7401738333,-2.44880747886,-3.16339432813,1,22dac859
130,6_hard_full,0.0,-3.12459013371,0.0,2,22dac859
131,6_hard_full,-9.21034037198,-2.5778849788,-9.21034037198,3,22dac859
132,6_hard_full,-5.85521846234,-3.42300304629,-5.72268159945,4,22dac859
133,6_hard_full,-9.21034037198,-2.59042044615,-9.21034037198,5,22dac859
134,6_hard_full,-3.38369073032,-3.70099217703,-3.04957974051,1,22dac859
135,6_hard_full,-5.85394570779,-3.10237699243,-5.62640870289,2,22dac859
136,6_hard_full,-1.45220402782,-2.49548686045,-1.45423834313,3,22dac859
137,6_hard_full,0.0,-2.49546686945,0.0,4,22dac859
138,6_hard_full,-3.04452243772,-2.59753600967,-3.04452243772,5,22dac859
139,6_hard_full,-5.63004405728,-3.47585215219,-5.44189630736,6,22dac859
140,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,22dac859
141,6_hard_full,-6.091507346,-3.35564172338,-5.75057034866,2,22dac859
142,6_hard_full,-2.57588370409,-3.32013503306,-3.08576917374,3,22dac859
143,6_hard_full,0.0,-2.68572395816,0.0,4,22dac859
144,6_hard_full,-3.04452243772,-2.5540623233,-3.04452243772,5,22dac859
145,6_hard_full,-3.33662909361,-2.31383264742,-3.30684211791,6,22dac859
146,6_hard_full,-2.94443897917,-3.33202459473,-2.94443897917,7,22dac859
147,6_hard_full,-1.28546554468,-2.38660903584,-1.14018669949,8,22dac859
148,6_hard_full,-2.53494115165,-2.31530500853,-2.20073436347,1,22dac859
149,6_hard_full,-0.680410383797,-2.66278108628,-0.336912288211,2,22dac859
150,6_hard_full,-3.13549421593,-3.0204748644,-3.13549421593,3,22dac859
151,6_hard_full,-3.71356337165,-2.44255696504,-3.47241902448,4,22dac859
152,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,22dac859
153,6_hard_full,-0.687003065288,-2.5202293139,-0.336936582956,2,22dac859
154,6_hard_full,-3.13549421593,-2.65106838829,-3.13549421593,3,22dac859
155,6_hard_full,-7.81942029706,-3.11350531366,-7.64170320762,4,22dac859
156,6_hard_full,-5.66742310707,-3.40103746482,-5.48220122598,4,22dac859
157,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,22dac859
158,6_hard_full,-4.83054556251,-3.07965873696,-4.48120732952,2,22dac859
159,6_hard_full,-1.0668954609,-2.21947939521,-0.844982855951,3,22dac859
160,6_hard_full,-3.09104245336,-3.4550713733,-3.09104245336,4,22dac859
161,6_hard_full,-1.0700009435,-2.87926243248,-0.845558126246,5,22dac859
162,6_hard_full,-2.10010890212,-2.60291959693,-1.76587684392,1,22dac859
163,6_hard_full,-0.687003065288,-2.5202293139,-0.336936582956,2,22dac859
164,6_hard_full,-3.13549421593,-4.44141259409,-3.13549421593,3,22dac859
165,6_hard_full,-7.04336179678,-3.42300304629,-6.86341234537,4,22dac859
166,6_hard_full,-0.924790064884,-2.87926243248,-0.843140734687,5,22dac859
167,6_hard_full,-0.687003065288,-2.5202293139,-0.336936582956,2,22dac859
168,6_hard_full,-3.13549421593,-4.44141259409,-3.13549421593,3,22dac859
169,6_hard_full,-4.76115373839,-2.91242263554,-4.57774530617,4,22dac859
