userid,board_name,board_size,board_type,condition,fitted_heuristic,blocking_score,win_score,density,linear,non-linear,interaction,blocking,interaction_blind,blocking_blind
3df11bae,6_hard_full,6,hard,full,blocking,5,200,-2.9406371819947434,-2.1622404359898897,-2.063281657332364,-1.8244087170503658,-1.6801298794744408,-1.8195880833169744,-1.691150715687724
3ed61f8d,6_hard_full,6,hard,full,blocking_blind,5,200,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-1.8004298891155044,-2.1839266743017083,-1.7091875948139499
43c60cd9,6_hard_full,6,hard,full,blocking_blind,5,200,-2.701012324106896,-2.2692007311190503,-2.138858165005258,-1.8753701765390152,-1.7880551141683398,-1.643330759397891,-1.5132601584449314
44a4fa14,6_hard_full,6,hard,full,interaction_blind,5,200,-3.0951954633988015,-2.710132626930439,-2.6823878175683022,-2.2334592039806633,-2.3270552658194577,-1.9633986336699287,-2.053651860414086
47f614be,6_hard_full,6,hard,full,blocking,5,200,-2.8398028152768964,-2.4305182661465485,-2.300416467908732,-2.0977213524720626,-2.001286918056407,-2.3080770973369327,-2.182890172867841
49e6113d,6_hard_full,6,hard,full,blocking,5,200,-3.0957085171591707,-1.9514815710502391,-1.7780336596024977,-1.5052991511800242,-1.2899231633012136,-1.5821576922719303,-1.3371251201705714
4af5df5d,6_hard_full,6,hard,full,interaction_blind,5,200,-2.5867367595915907,-2.6983363862030942,-2.671125584831683,-2.685580380600301,-2.784273517274587,-1.450468603056593,-1.5100528990768514
4ed4c1d3,6_hard_full,6,hard,full,blocking,5,200,-2.81994892053435,-1.9149345573568146,-1.7360403975226815,-1.5228993210475115,-1.396030872172173,-1.593093838648459,-1.4630240308275673
50c60ba6,6_hard_full,6,hard,full,blocking_blind,5,200,-2.889582270960689,-1.532518027075026,-1.2996283147084189,-0.8784269574859945,-0.7260688834209715,-0.8392403516091387,-0.6865066594927252
53c4c041,6_hard_full,6,hard,full,interaction,5,200,-2.942429804749942,-2.2784883793470803,-2.1753257308298193,-1.843485186439518,-1.8885097676683187,-2.129122992878686,-2.151063981029119
54f4bf95,6_hard_full,6,hard,full,blocking,5,200,-2.551383348895045,-1.6821507032072467,-1.499448424767432,-1.0196357380930694,-0.9523566421593014,-1.1152790261831895,-1.0400106495757282
55f5fe54,6_hard_full,6,hard,full,non-linear,5,200,-2.8959249510292215,-2.5735529765993177,-2.5030435392731736,-2.934754863183967,-2.6568208353322134,-3.2187996261356187,-3.123824317220333
57a4bf4b,6_hard_full,6,hard,full,blocking_blind,5,200,-2.525753679579444,-1.629837714659851,-1.4573232039734878,-1.1432046866130559,-1.0578189096150672,-1.1231343601767665,-1.0403391459085591
5ce612bc,6_hard_full,6,hard,full,blocking_blind,5,200,-2.5459120929143757,-2.976801210446643,-2.856227621535918,-2.8511441609358315,-2.6925651823755947,-2.6750461981349685,-2.516457323809181
5dd4c056,6_hard_full,6,hard,full,blocking_blind,5,200,-2.889582270960689,-1.532518027075026,-1.2996283147084189,-0.8784269574859945,-0.7260688834209715,-0.8392403516091387,-0.6865066594927252
5edbbf73,6_hard_full,6,hard,full,interaction,5,200,-2.91123998374733,-2.554525100596849,-2.48303010515895,-2.068178121713478,-2.111414946163399,-2.2837081059212543,-2.3178033288976434
5fd6115c,6_hard_full,6,hard,full,blocking_blind,5,200,-2.7850112422383386,-3.1135153092103742,-2.6621867843090286,-2.2629481968534977,-1.8004298891155044,-2.1839266743017083,-1.7091875948139499
63c4bfcb,6_hard_full,6,hard,full,blocking_blind,5,200,-2.483505717589492,-3.6730376287996984,-3.6785118801980894,-3.9546844667726466,-3.996143076901048,-2.213908528087335,-2.08074906187073
63e5efe1,6_hard_full,6,hard,full,blocking_blind,5,200,-2.7286475668279184,-2.1648561001505144,-2.0004250031356263,-1.7472147644838487,-1.6277626743193074,-1.6747064895384836,-1.5519224180143036
64f61543,6_hard_full,6,hard,full,blocking_blind,5,200,-3.4161381505685573,-2.290993869723653,-2.204212228590532,-2.1430684838024927,-1.955692842328355,-1.9942177390424085,-1.8839855307955744
67eac875,6_hard_full,6,hard,full,blocking_blind,5,200,-3.580315060576481,-3.062692250417469,-3.163040714782641,-3.3705247302117494,-3.2671011470080926,-2.969339687567438,-2.8832617524617055
