size,type,condition,board_x,heuristic_name,moves,board_size,board_type,actionsSolution,solutionCorrect,solutionAndValidationCorrect,timeMinutes,PercentCorrect,solutionAndValidationCorrectPercent,board_y,timePerMoveMinutes,timePerMove,moves_type
10,HC,truncated,10 HC truncated,interaction,496,10,hard,35,1,1,4.23795,100,100,10 HC,0.121084286,7.26505716,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,53,1,0,9.746933333,100,0,10 HC,0.183904403,11.03426418,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,56,0,0,9.390416667,0,0,10 HC,0.167686012,10.06116072,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,87,0,0,8.948733333,0,0,10 HC,0.102859004,6.17154024,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,26,0,0,5.574033333,0,0,10 HC,0.214385897,12.86315382,participant
10,HC,truncated,10 HC truncated,interaction,496,10,hard,7,0,0,1.81075,0,0,10 HC,0.258678571,15.52071426,participant
10,DC,full,10 DC full,interaction,97098,10,CV,12,0,0,2.133516667,0,0,10 DC,0.177793056,10.66758336,participant
10,DC,full,10 DC full,interaction,97098,10,CV,55,1,0,5.270566667,100,0,10 DC,0.095828485,5.7497091,participant
10,DC,full,10 DC full,interaction,97098,10,CV,2,0,0,0.448683333,0,0,10 DC,0.224341667,13.46050002,participant
10,DC,full,10 DC full,interaction,97098,10,CV,40,0,0,3.525683333,0,0,10 DC,0.088142083,5.28852498,participant
10,DC,full,10 DC full,interaction,97098,10,CV,2,0,0,0.659833333,0,0,10 DC,0.329916667,19.79500002,participant
10,DC,full,10 DC full,interaction,97098,10,CV,25,0,0,2.821866667,0,0,10 DC,0.112874667,6.77248002,participant
10,DC,full,10 DC full,interaction,97098,10,CV,13,0,0,0.754083333,0,0,10 DC,0.05800641,3.4803846,participant
10,DC,full,10 DC full,interaction,97098,10,CV,12,0,0,2.68045,0,0,10 DC,0.223370833,13.40224998,participant
10,DC,full,10 DC full,interaction,97098,10,CV,12,0,0,1.874916667,0,0,10 DC,0.156243056,9.37458336,participant
10,DC,full,10 DC full,interaction,97098,10,CV,19,1,0,2.783533333,100,0,10 DC,0.146501754,8.79010524,participant
10,DC,full,10 DC full,interaction,97098,10,CV,55,0,0,5.13965,0,0,10 DC,0.093448182,5.60689092,participant
10,DC,full,10 DC full,interaction,97098,10,CV,11,1,1,1.358833333,100,100,10 DC,0.123530303,7.41181818,participant
10,DC,full,10 DC full,interaction,97098,10,CV,9,0,0,1.5131,0,0,10 DC,0.168122222,10.08733332,participant
10,DC,full,10 DC full,interaction,97098,10,CV,33,0,0,4.731816667,0,0,10 DC,0.143388384,8.60330304,participant
10,DC,full,10 DC full,interaction,97098,10,CV,24,0,0,5.1614,0,0,10 DC,0.215058333,12.90349998,participant
10,DC,full,10 DC full,interaction,97098,10,CV,32,0,0,4.242783333,0,0,10 DC,0.132586979,7.95521874,participant
10,DC,full,10 DC full,interaction,97098,10,CV,14,0,0,1.5902,0,0,10 DC,0.113585714,6.81514284,participant
10,DC,full,10 DC full,interaction,97098,10,CV,13,1,0,2.190233333,100,0,10 DC,0.168479487,10.10876922,participant
10,DC,full,10 DC full,interaction,97098,10,CV,48,0,0,6.166016667,0,0,10 DC,0.128458681,7.70752086,participant
10,DC,full,10 DC full,interaction,97098,10,CV,70,0,0,7.629183333,0,0,10 DC,0.108988333,6.53929998,participant
10,DC,full,10 DC full,interaction,97098,10,CV,49,1,1,6.280433333,100,100,10 DC,0.128172109,7.69032654,participant
10,DC,full,10 DC full,interaction,97098,10,CV,49,0,0,2.631,0,0,10 DC,0.053693878,3.22163268,participant
10,DC,full,10 DC full,interaction,97098,10,CV,3,0,0,1.7553,0,0,10 DC,0.5851,35.106,participant
10,DC,full,10 DC full,interaction,97098,10,CV,35,0,0,3.382,0,0,10 DC,0.096628571,5.79771426,participant
10,DC,full,10 DC full,interaction,97098,10,CV,46,0,0,4.599433333,0,0,10 DC,0.099987681,5.99926086,participant
10,DC,full,10 DC full,interaction,97098,10,CV,4,0,0,1.098716667,0,0,10 DC,0.274679167,16.48075002,participant
10,DC,full,10 DC full,interaction,97098,10,CV,13,0,0,1.7595,0,0,10 DC,0.135346154,8.12076924,participant
10,DC,full,10 DC full,interaction,97098,10,CV,77,0,0,7.148516667,0,0,10 DC,0.092837879,5.57027274,participant
10,DC,full,10 DC full,interaction,97098,10,CV,6,0,0,2.603866667,0,0,10 DC,0.433977778,26.03866668,participant
10,DC,full,10 DC full,interaction,97098,10,CV,101,0,0,9.835816667,0,0,10 DC,0.097384323,5.84305938,participant
10,DC,full,10 DC full,interaction,97098,10,CV,15,0,0,2.702,0,0,10 DC,0.180133333,10.80799998,participant
10,DC,full,10 DC full,interaction,97098,10,CV,10,1,1,3.491516667,100,100,10 DC,0.349151667,20.94910002,participant
10,DC,full,10 DC full,interaction,97098,10,CV,97,0,0,9.947666667,0,0,10 DC,0.102553265,6.1531959,participant
10,DC,full,10 DC full,interaction,97098,10,CV,36,0,0,3.496083333,0,0,10 DC,0.097113426,5.82680556,participant
10,DC,full,10 DC full,interaction,97098,10,CV,35,1,1,4.530366667,100,100,10 DC,0.129439048,7.76634288,participant
10,DC,full,10 DC full,interaction,97098,10,CV,21,1,1,4.712016667,100,100,10 DC,0.224381746,13.46290476,participant
10,DC,full,10 DC full,interaction,97098,10,CV,30,0,0,3.449233333,0,0,10 DC,0.114974444,6.89846664,participant
10,DC,full,10 DC full,interaction,97098,10,CV,11,0,0,2.184816667,0,0,10 DC,0.198619697,11.91718182,participant
10,DC,full,10 DC full,interaction,97098,10,CV,18,0,0,2.555566667,0,0,10 DC,0.141975926,8.51855556,participant
10,DC,full,10 DC full,interaction,97098,10,CV,13,0,0,1.6769,0,0,10 DC,0.128992308,7.73953848,participant
10,DC,full,10 DC full,interaction,97098,10,CV,8,1,1,4.9828,100,100,10 DC,0.62285,37.371,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,21,1,1,2.438883333,100,100,10 DC,0.116137302,6.96823812,participant
10,DC,truncated,10 DC truncated,interaction,255,10,CV,22,1,1,2.755583333,100,100,10 DC,0.125253788,7.51522728,participant
