,move_limit,noise,k,board,tradeoff
292,50,0.75,10,10_hard_full,0
293,50,0.75,10,10_hard_pruned,0
294,50,0.75,10,10_medium_full,0
295,50,0.75,10,10_medium_pruned,1
296,50,0.75,10,6_easy_full,0
297,50,0.75,10,6_easy_pruned,0
298,50,0.75,10,6_hard_full,0
299,50,0.75,10,6_hard_pruned,0
300,50,1.0,5,10_easy_full,0
301,50,1.0,5,10_easy_pruned,0
302,50,1.0,5,10_hard_full,0
303,50,1.0,5,10_hard_pruned,0
304,50,1.0,5,10_medium_full,0
305,50,1.0,5,10_medium_pruned,0
306,50,1.0,5,6_easy_full,1
307,50,1.0,5,6_easy_pruned,1
308,50,1.0,5,6_hard_full,0
309,50,1.0,5,6_hard_pruned,0
310,50,1.0,10,10_easy_full,0
311,50,1.0,10,10_easy_pruned,0
312,50,1.0,10,10_hard_full,0
313,50,1.0,10,10_hard_pruned,1
314,50,1.0,10,10_medium_full,0
315,50,1.0,10,10_medium_pruned,0
316,50,1.0,10,6_easy_full,1
317,50,1.0,10,6_easy_pruned,1
318,50,1.0,10,6_hard_full,0
319,50,1.0,10,6_hard_pruned,0
320,50,1.25,5,10_easy_full,0
321,50,1.25,5,10_easy_pruned,0
322,50,1.25,5,10_hard_full,0
323,50,1.25,5,10_hard_pruned,0
324,50,1.25,5,10_medium_full,0
325,50,1.25,5,10_medium_pruned,0
326,50,1.25,5,6_easy_full,1
327,50,1.25,5,6_easy_pruned,1
328,50,1.25,5,6_hard_full,0
329,50,1.25,5,6_hard_pruned,0
330,50,1.25,10,10_easy_full,1
331,50,1.25,10,10_easy_pruned,0
332,50,1.25,10,10_hard_full,0
333,50,1.25,10,10_hard_pruned,0
334,50,1.25,10,10_medium_full,0
335,50,1.25,10,10_medium_pruned,0
336,50,1.25,10,6_easy_full,1
337,50,1.25,10,6_easy_pruned,1
338,50,1.25,10,6_hard_full,0
339,50,1.25,10,6_hard_pruned,0
340,50,1.5,5,10_easy_full,0
341,50,1.5,5,10_easy_pruned,0
342,50,1.5,5,10_hard_full,0
343,50,1.5,5,10_hard_pruned,0
344,50,1.5,5,10_medium_full,0
345,50,1.5,5,10_medium_pruned,0
346,50,1.5,5,6_easy_full,0
347,50,1.5,5,6_easy_pruned,1
348,50,1.5,5,6_hard_full,0
349,50,1.5,5,6_hard_pruned,0
350,50,1.5,10,10_easy_full,0
351,50,1.5,10,10_easy_pruned,0
352,50,1.5,10,10_hard_full,0
353,50,1.5,10,10_hard_pruned,0
354,50,1.5,10,10_medium_full,0
355,50,1.5,10,10_medium_pruned,0
356,50,1.5,10,6_easy_full,1
357,50,1.5,10,6_easy_pruned,1
358,50,1.5,10,6_hard_full,0
359,50,1.5,10,6_hard_pruned,1
360,50,1.75,5,10_easy_full,1
361,50,1.75,5,10_easy_pruned,0
362,50,1.75,5,10_hard_full,0
363,50,1.75,5,10_hard_pruned,0
364,50,1.75,5,10_medium_full,0
365,50,1.75,5,10_medium_pruned,0
366,50,1.75,5,6_easy_full,1
367,50,1.75,5,6_easy_pruned,0
368,50,1.75,5,6_hard_full,0
369,50,1.75,5,6_hard_pruned,0
370,50,1.75,10,10_easy_full,1
371,50,1.75,10,10_easy_pruned,0
372,50,1.75,10,10_hard_full,0
373,50,1.75,10,10_hard_pruned,1
374,50,1.75,10,10_medium_full,0
375,50,1.75,10,10_medium_pruned,0
376,50,1.75,10,6_easy_full,1
377,50,1.75,10,6_easy_pruned,1
378,50,1.75,10,6_hard_full,0
379,50,1.75,10,6_hard_pruned,0
380,50,2.0,5,10_easy_full,0
381,50,2.0,5,10_easy_pruned,0
382,50,2.0,5,10_hard_full,0
383,50,2.0,5,10_hard_pruned,0
384,50,2.0,5,10_medium_full,0
385,50,2.0,5,10_medium_pruned,0
386,50,2.0,5,6_easy_full,1
387,50,2.0,5,6_easy_pruned,1
388,50,2.0,5,6_hard_full,0
389,50,2.0,5,6_hard_pruned,0
390,50,2.0,10,10_easy_full,0
391,50,2.0,10,10_easy_pruned,1
392,50,2.0,10,10_hard_full,0
393,50,2.0,10,10_hard_pruned,0
394,50,2.0,10,10_medium_full,0
395,50,2.0,10,10_medium_pruned,1
396,50,2.0,10,6_easy_full,1
397,50,2.0,10,6_easy_pruned,1
398,50,2.0,10,6_hard_full,0
399,50,2.0,10,6_hard_pruned,0
400,50,2.25,5,10_easy_full,0
401,50,2.25,5,10_easy_pruned,0
402,50,2.25,5,10_hard_full,0
403,50,2.25,5,10_hard_pruned,1
404,50,2.25,5,10_medium_full,1
405,50,2.25,5,10_medium_pruned,1
406,50,2.25,5,6_easy_full,0
407,50,2.25,5,6_easy_pruned,0
408,50,2.25,5,6_hard_full,0
409,50,2.25,5,6_hard_pruned,0
410,50,2.25,10,10_easy_full,1
411,50,2.25,10,10_easy_pruned,0
412,50,2.25,10,10_hard_full,1
413,50,2.25,10,10_hard_pruned,0
414,50,2.25,10,10_medium_full,0
415,50,2.25,10,10_medium_pruned,0
416,50,2.25,10,6_easy_full,0
417,50,2.25,10,6_easy_pruned,1
418,50,2.25,10,6_hard_full,0
419,50,2.25,10,6_hard_pruned,0
420,50,2.5,5,10_easy_full,0
421,50,2.5,5,10_easy_pruned,0
422,50,2.5,5,10_hard_full,1
423,50,2.5,5,10_hard_pruned,0
424,50,2.5,5,10_medium_full,0
425,50,2.5,5,10_medium_pruned,0
426,50,2.5,5,6_easy_full,1
427,50,2.5,5,6_easy_pruned,0
428,50,2.5,5,6_hard_full,0
429,50,2.5,5,6_hard_pruned,0
430,50,2.5,10,10_easy_full,0
431,50,2.5,10,10_easy_pruned,1
432,50,2.5,10,10_hard_full,0
433,50,2.5,10,10_hard_pruned,0
434,50,2.5,10,10_medium_full,0
435,50,2.5,10,10_medium_pruned,0
436,50,2.5,10,6_easy_full,1
437,50,2.5,10,6_easy_pruned,1
438,50,2.5,10,6_hard_full,0
439,50,2.5,10,6_hard_pruned,0
440,100,0.0,5,10_easy_full,0
441,100,0.0,5,10_easy_pruned,0
442,100,0.0,5,10_hard_full,0
443,100,0.0,5,10_hard_pruned,0
444,100,0.0,5,10_medium_full,0
445,100,0.0,5,10_medium_pruned,0
446,100,0.0,5,6_easy_full,0
447,100,0.0,5,6_easy_pruned,0
448,100,0.0,5,6_hard_full,0
449,100,0.0,5,6_hard_pruned,0
450,100,0.0,10,10_easy_full,0
451,100,0.0,10,10_easy_pruned,0
452,100,0.0,10,10_hard_full,0
453,100,0.0,10,10_hard_pruned,1
454,100,0.0,10,10_medium_full,0
455,100,0.0,10,10_medium_pruned,0
456,100,0.0,10,6_easy_full,0
457,100,0.0,10,6_easy_pruned,0
458,100,0.0,10,6_hard_full,0
459,100,0.0,10,6_hard_pruned,0
460,100,0.25,5,10_easy_full,0
461,100,0.25,5,10_easy_pruned,0
462,100,0.25,5,10_hard_full,0
463,100,0.25,5,10_hard_pruned,0
464,100,0.25,5,10_medium_full,1
465,100,0.25,5,10_medium_pruned,0
466,100,0.25,5,6_easy_full,0
467,100,0.25,5,6_easy_pruned,0
468,100,0.25,5,6_hard_full,0
469,100,0.25,5,6_hard_pruned,1
470,100,0.25,10,10_easy_full,0
471,100,0.25,10,10_easy_pruned,0
472,100,0.25,10,10_hard_full,0
473,100,0.25,10,10_hard_pruned,0
474,100,0.25,10,10_medium_full,0
475,100,0.25,10,10_medium_pruned,0
476,100,0.25,10,6_easy_full,0
477,100,0.25,10,6_easy_pruned,0
478,100,0.25,10,6_hard_full,0
479,100,0.25,10,6_hard_pruned,0
480,100,0.5,5,10_easy_full,0
481,100,0.5,5,10_easy_pruned,0
482,100,0.5,5,10_hard_full,0
483,100,0.5,5,10_hard_pruned,0
484,100,0.5,5,10_medium_full,0
485,100,0.5,5,10_medium_pruned,0
486,100,0.5,5,6_easy_full,1
487,100,0.5,5,6_easy_pruned,0
488,100,0.5,5,6_hard_full,0
489,100,0.5,5,6_hard_pruned,0
490,100,0.5,10,10_easy_full,0
491,100,0.5,10,10_easy_pruned,1
492,100,0.5,10,10_hard_full,0
493,100,0.5,10,10_hard_pruned,0
494,100,0.5,10,10_medium_full,0
495,100,0.5,10,10_medium_pruned,0
496,100,0.5,10,6_easy_full,0
497,100,0.5,10,6_easy_pruned,1
498,100,0.5,10,6_hard_full,0
499,100,0.5,10,6_hard_pruned,0
500,100,0.75,5,10_easy_full,0
501,100,0.75,5,10_easy_pruned,0
502,100,0.75,5,10_hard_full,0
503,100,0.75,5,10_hard_pruned,0
504,100,0.75,5,10_medium_full,0
505,100,0.75,5,10_medium_pruned,0
506,100,0.75,5,6_easy_full,1
507,100,0.75,5,6_easy_pruned,0
508,100,0.75,5,6_hard_full,0
509,100,0.75,5,6_hard_pruned,0
510,100,0.75,10,10_easy_full,0
511,100,0.75,10,10_easy_pruned,0
512,100,0.75,10,10_hard_full,0
513,100,0.75,10,10_hard_pruned,0
514,100,0.75,10,10_medium_full,0
515,100,0.75,10,10_medium_pruned,0
516,100,0.75,10,6_easy_full,1
517,100,0.75,10,6_easy_pruned,0
518,100,0.75,10,6_hard_full,0
519,100,0.75,10,6_hard_pruned,0
520,100,1.0,5,10_easy_full,0
521,100,1.0,5,10_easy_pruned,0
522,100,1.0,5,10_hard_full,0
523,100,1.0,5,10_hard_pruned,0
524,100,1.0,5,10_medium_full,0
525,100,1.0,5,10_medium_pruned,1
526,100,1.0,5,6_easy_full,1
