userid,key,value,boardSize,condition,boardType,time,board_name
12d58bed,click,"[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,1,0,2,2,1,1,2,1,1],[2,0,2,1,1,2,2,0,0,1],[1,0,0,2,1,1,2,0,0,0],[1,1,0,0,2,0,1,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]]",10,pruned,easy,1554484510389,10_easy_pruned
12d58bed,clickPos,6_6_1,10,pruned,easy,1554484510390,10_easy_pruned
13e5a30f,new_user,13e5a30f,10,pruned,easy,1554490127043,10_easy_pruned
13e5a30f,experimentalCondition,10_pruned_easy,10,pruned,easy,1554490127061,10_easy_pruned
13e5a30f,boardSize,10,10,pruned,easy,1554490127076,10_easy_pruned
13e5a30f,difficulty,easy,10,pruned,easy,1554490127083,10_easy_pruned
13e5a30f,condition,pruned,10,pruned,easy,1554490127088,10_easy_pruned
13e5a30f,start_position,"{canvasContainerDiv:#canvas-container,nrows:10,ncols:10,cellSize:32,position:[[0,0,0,0,1,2,2,0,0,0],[0,0,0,0,2,1,1,1,0,0],[0,0,0,1,2,2,2,1,0,0],[0,0,0,2,2,1,1,2,1,1],[2,0,0,1,0,2,2,0,0,1],[1,0,0,0,0,0,0,0,0,0],[1,1,0,0,0,0,0,0,0,0],[2,2,0,0,0,0,1,0,0,0],[0,0,0,0,0,0,1,0,0,0],[0,0,0,0,0,2,2,2,0,0]],nextPlayer:1,streak:5,turns:3,winPath:[[[1,9],[2,9],[5,9]]],losePath:[[[1,8],[0,9]]],winMove:[j9,J9,9j,9J]}",10,pruned,easy,1554490127093,10_easy_pruned
13e5a30f,gender,female,10,pruned,easy,1554490149426,10_easy_pruned
13e5a30f,education,1,10,pruned,easy,1554490149442,10_easy_pruned
13e5a30f,age,39,10,pruned,easy,1554490149442,10_easy_pruned
13e5a30f,timeInstructions,54798,10,pruned,easy,1554490204240,10_easy_pruned
13e5a30f,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490204361,10_easy_pruned
13e5a30f,timeQuiz,115836,10,pruned,easy,1554490320076,10_easy_pruned
13e5a30f,timeInstructions,119547,10,pruned,easy,1554490323787,10_easy_pruned
13e5a30f,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490323909,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490329143,10_easy_pruned
13e5a30f,clickPos_practice,7_1_1,10,pruned,easy,1554490329153,10_easy_pruned
13e5a30f,timeQuiz,9986,10,pruned,easy,1554490333782,10_easy_pruned
13e5a30f,quiz1,2,10,pruned,easy,1554490333792,10_easy_pruned
13e5a30f,quiz2,2,10,pruned,easy,1554490333792,10_easy_pruned
13e5a30f,quiz3,3,10,pruned,easy,1554490333802,10_easy_pruned
13e5a30f,quiz4,c1,10,pruned,easy,1554490333802,10_easy_pruned
13e5a30f,quiz5,b1,10,pruned,easy,1554490333812,10_easy_pruned
13e5a30f,quiz6,b3,10,pruned,easy,1554490333812,10_easy_pruned
13e5a30f,quiz6v,0,10,pruned,easy,1554490333812,10_easy_pruned
13e5a30f,passedQuiz,FALSE,10,pruned,easy,1554490333822,10_easy_pruned
13e5a30f,gender,female,10,pruned,easy,1554490344746,10_easy_pruned
13e5a30f,education,1,10,pruned,easy,1554490344756,10_easy_pruned
13e5a30f,age,39,10,pruned,easy,1554490344762,10_easy_pruned
13e5a30f,timeInstructions,28886,10,pruned,easy,1554490373652,10_easy_pruned
13e5a30f,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490373714,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490433196,10_easy_pruned
13e5a30f,clickPos_practice,7_1_1,10,pruned,easy,1554490433211,10_easy_pruned
13e5a30f,timeQuiz,63097,10,pruned,easy,1554490436765,10_easy_pruned
13e5a30f,quiz1,2,10,pruned,easy,1554490436765,10_easy_pruned
13e5a30f,quiz2,2,10,pruned,easy,1554490436781,10_easy_pruned
13e5a30f,quiz3,3,10,pruned,easy,1554490436781,10_easy_pruned
13e5a30f,quiz4,c5,10,pruned,easy,1554490436781,10_easy_pruned
13e5a30f,quiz5,b1,10,pruned,easy,1554490436781,10_easy_pruned
13e5a30f,quiz6,b3,10,pruned,easy,1554490436781,10_easy_pruned
13e5a30f,quiz6v,0,10,pruned,easy,1554490436781,10_easy_pruned
13e5a30f,passedQuiz,FALSE,10,pruned,easy,1554490436781,10_easy_pruned
13e5a30f,gender,female,10,pruned,easy,1554490441908,10_easy_pruned
13e5a30f,education,1,10,pruned,easy,1554490441912,10_easy_pruned
13e5a30f,age,39,10,pruned,easy,1554490441918,10_easy_pruned
13e5a30f,timeInstructions,33588,10,pruned,easy,1554490475511,10_easy_pruned
13e5a30f,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490475558,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490625908,10_easy_pruned
13e5a30f,clickPos_practice,7_1_1,10,pruned,easy,1554490625908,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[2,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490633275,10_easy_pruned
13e5a30f,clickPos_practice,7_0_2,10,pruned,easy,1554490633275,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[2,1,1,1,1,1,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490635895,10_easy_pruned
13e5a30f,clickPos_practice,7_5_1,10,pruned,easy,1554490635895,10_easy_pruned
13e5a30f,timeQuiz,170942,10,pruned,easy,1554490646453,10_easy_pruned
13e5a30f,quiz1,2,10,pruned,easy,1554490646453,10_easy_pruned
13e5a30f,quiz2,2,10,pruned,easy,1554490646453,10_easy_pruned
13e5a30f,quiz3,3,10,pruned,easy,1554490646469,10_easy_pruned
13e5a30f,quiz5,b1,10,pruned,easy,1554490646469,10_easy_pruned
13e5a30f,quiz4,c1,10,pruned,easy,1554490646469,10_easy_pruned
13e5a30f,quiz6,b3,10,pruned,easy,1554490646469,10_easy_pruned
13e5a30f,quiz6v,0,10,pruned,easy,1554490646484,10_easy_pruned
13e5a30f,passedQuiz,FALSE,10,pruned,easy,1554490646484,10_easy_pruned
13e5a30f,gender,female,10,pruned,easy,1554490652273,10_easy_pruned
13e5a30f,education,1,10,pruned,easy,1554490652279,10_easy_pruned
13e5a30f,age,39,10,pruned,easy,1554490652284,10_easy_pruned
13e5a30f,timeInstructions,24868,10,pruned,easy,1554490677156,10_easy_pruned
13e5a30f,start,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,0,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490677231,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,0,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490767909,10_easy_pruned
13e5a30f,clickPos_practice,7_1_1,10,pruned,easy,1554490767909,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[0,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490768961,10_easy_pruned
13e5a30f,clickPos_practice,7_5_2,10,pruned,easy,1554490768977,10_easy_pruned
13e5a30f,click_practice,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,2,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,2,0,2,0,0,0,0],[1,1,1,1,1,2,2,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]",10,pruned,easy,1554490770385,10_easy_pruned
13e5a30f,clickPos_practice,7_0_1,10,pruned,easy,1554490770385,10_easy_pruned
