userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,potential_score,path,move_prob,path_prob,path_number,board_state,position,path_after,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action,solution
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336523442,126392,2,2.9443764172335607,3,100,21.25,14,-4.555487528344672,100,"[[1, 4, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1]]",0.02177393015437228,2.8404065874535595e-20,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 2, 1], [0, 0, 2, 0, 0, 0]]",3_5,"[[1, 4, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [3, 5, 2]]",9.816,9.816,click,9,6,False,1562336513626,e5
15b55c06,6_easy_full_07,6,easy,full,wrong,click,1562336524972,127922,1,100,0,100,5.611111111111111,13,102.94437641723356,-0.0,"[[1, 4, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [3, 5, 2]]",0.9305460857431979,2.6431292318741038e-20,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 1, 0], [1, 2, 2, 2, 1, 1], [2, 0, 1, 1, 2, 2], [1, 0, 2, 2, 2, 1], [0, 0, 2, 0, 0, 0]]",1_5,"[[1, 4, 1], [4, 4, 2], [4, 5, 1], [5, 2, 2], [2, 5, 1], [3, 5, 2], [1, 5, 1]]",1.53,1.53,click,10,7,False,1562336523442,e5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,click,1562338173384,51395,1,22.083333333333336,0,22.083333333333336,21.72222222222222,19,22.083333333333336,100,[],0.241053031079712,0.241053031079712,1,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",3_5,"[[3, 5, 1]]",51.377,0,,1,1,True,1562338122007,f5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,click,1562338179797,57808,2,10,0,10,-100,18,-32.083333333333336,29.5,"[[3, 5, 1]]",1.0,0.241053031079712,1,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",0_2,"[[3, 5, 1], [0, 2, 2]]",6.413,6.413,click,2,2,False,1562338173384,f5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,click,1562338184190,62201,1,1.1400000000000001,4,29.5,21.0,17,11.14,-0.0,"[[3, 5, 1], [0, 2, 2]]",0.01948743076836071,0.00469750425466939,1,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",4_4,"[[3, 5, 1], [0, 2, 2], [4, 4, 1]]",4.393,4.393,click,3,3,False,1562338179797,f5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,click,1562338192348,70359,2,21.25,1,22.083333333333336,21.25,16,-22.39,10,"[[3, 5, 1], [0, 2, 2], [4, 4, 1]]",0.1951648640759394,0.0009167877793586984,1,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 1], [1, 0, 2, 2, 1, 0], [0, 0, 0, 0, 0, 0]]",3_1,"[[3, 5, 1], [0, 2, 2], [4, 4, 1], [3, 1, 2]]",8.158,8.158,click,4,4,False,1562338184190,f5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,click,1562338194811,72822,1,10,0,10,-100,15,31.25,-0.0,"[[3, 5, 1], [0, 2, 2], [4, 4, 1], [3, 1, 2]]",1.0,0.0009167877793586984,1,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1], [1, 0, 2, 2, 1, 0], [0, 0, 0, 0, 0, 0]]",4_1,"[[3, 5, 1], [0, 2, 2], [4, 4, 1], [3, 1, 2], [4, 1, 1]]",2.463,2.463,click,5,5,False,1562338192348,f5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,reset,1562338197498,75509,1,10,,,,,-10.0,-0.0,"[[3, 5, 1], [0, 2, 2], [4, 4, 1], [3, 1, 2], [4, 1, 1]]",1.0,0.0009167877793586984,1,"[[0, 1, 2, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 2, 1, 1, 2, 1], [1, 1, 2, 2, 1, 0], [0, 0, 0, 0, 0, 0]]",,"[[3, 5, 1], [0, 2, 2], [4, 4, 1], [3, 1, 2], [4, 1, 1]]",2.687,2.687,click,,5,,1562338194811,f5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,click,1562338208895,86906,1,21.72222222222222,1,22.083333333333336,21.72222222222222,19,21.72222222222222,100,[],0.2371112869715604,0.2371112869715604,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 0], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",1_5,"[[1, 5, 1]]",11.397,14.084,reset,6,1,True,1562338197498,f5
19a561a7,6_easy_full_07,6,easy,full,validatedCorrect,click,1562338213611,91622,2,10,0,10,-100,18,-31.72222222222222,29.86111111111111,"[[1, 5, 1]]",1.0,0.2371112869715604,2,"[[0, 1, 0, 2, 0, 0], [0, 2, 1, 1, 0, 1], [1, 2, 2, 2, 1, 0], [2, 0, 1, 1, 2, 0], [1, 0, 2, 2, 0, 0], [0, 0, 0, 0, 0, 0]]",1_4,"[[1, 5, 1], [1, 4, 2]]",4.716,4.716,click,7,2,False,1562338208895,f5
