userid,key,value,boardSize,boardType,condition,time
7db4f1d2,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,start,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,passedQuiz,TRUE,6,pruned,easy,1.51E+12
7db4f1d2,clickPos,1_5_1,6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos,1_4_2,6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,0],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos,2_5_1,6,pruned,easy,1.51E+12
7db4f1d2,clickPos,0_5_2,6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,2],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos,4_5_1,6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,2],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,1],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,reset,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,0],[0,2,1,1,1,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos,1_4_1,6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,0],[0,2,1,1,1,2],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos,1_5_2,6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,0],[0,2,1,1,1,2],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
7db4f1d2,clickPos,2_5_1,6,pruned,easy,1.51E+12
7db4f1d2,clickPos,4_5_2,6,pruned,easy,1.51E+12
7db4f1d2,click,"[[0,1,2,2,0,0],[0,2,1,1,1,2],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,2],[0,0,0,0,0,0]]",6,pruned,easy,1.51E+12
