,AssignmentId,Unnamed: 0,WorkerId,actionsSolution,actionsValidation,actions_solution,actions_validation,board_size,board_type,bonus,condition,solved_correct,time,timeSolution,timeValidation,time_solution,time_validation,timestamp,userid,validated_correct
32,3ZDAD0O1T2KFXM5YMIBRBFG729QXTQ,32,A1M0DNO6Y0IXGF,,,11.0,0.0,10,hard,0,full,False,1554400000000.0,,,33016.0,22159.0,,b9e44d9b,False
33,3G5W44VEU8P58HKL3ZXVM2TGG64KGG,33,A2HM5H49DEQ8SV,,,10.0,0.0,10,medium,0,pruned,True,1554400000000.0,,,258012.0,11586.0,,b2d44cf9,False
34,3Z4XG4ZF49YWZ2DAJK0WKJKKOW7X83,34,AOTF48KUV9KWM,,,17.0,0.0,10,medium,0,full,False,1554400000000.0,,,102056.0,75890.0,,e0a44f08,False
35,3TUI152ZZCUUF5SDYLWPB11JDNBQ1C,35,A2IJJOV2S8AYLW,,,23.0,0.0,10,easy,0,pruned,False,1554400000000.0,,,215766.0,36350.0,,99b44e42,False
36,3IX2EGZR7CQ1MNNH1PRVKR7A3QGJRD,36,A38F8U7SZ7CE1Y,,,10.0,0.0,10,medium,0,full,False,1554400000000.0,,,159256.0,198501.0,,c3b45154,False
37,3OVR4I9USQQB74PWL3FR9Z8MP7S4QA,37,A2NLAKN6UQK125,,,53.0,17.0,10,medium,0,pruned,True,1554400000000.0,,,274086.0,126059.0,,93a45177,True
38,3O6CYIULEE8F8ZFXCI5FESO2CLWUWQ,38,A1G42P7S1ROOD2,,,90.0,6.0,10,easy,0,full,True,1554410000000.0,,,474154.0,75886.0,,1ab458e7,False
39,3U8YCDAGXQNU8G7V22SPXWI98VI0QW,39,ATGD9YT82E25,,,52.0,9.0,10,hard,0,full,True,1554410000000.0,,,537529.0,84859.0,,faf45b5f,True
40,3Z7VU45IPZO3TXT4LHF22UDNIQH1Z2,40,A3CYHZ9BKS79E5,,,5.0,0.0,6,easy,0,pruned,False,1554410000000.0,,,171591.0,87970.0,,8aa45fa2,False
41,39U1BHVTDMY3HOYK2T434ZR3VECT39,41,A1I0DV4B4MFQCL,,,56.0,0.0,10,easy,0,pruned,False,1554410000000.0,,,390108.0,151466.0,,cfc46a6f,False
42,3P1L2B7AD2W4K0J1CIM46BFXWT1LOA,42,A1FTGHYEU1T71Y,,,15.0,0.0,6,easy,0,pruned,False,1554410000000.0,,,318269.0,17583.0,,6cb47215,False
43,386PBUZZXG4QJPS4W5UZYFYBXZQLJQ,43,A2PT382MYCTXCU,,,50.0,0.0,10,easy,0,pruned,False,1554410000000.0,,,31262.0,22384.0,,f9f4736c,False
44,3483FV8BEFQ8U8RP2GI5AFUX5XZ628,44,A2CWJRAEFZ44HU,,,15.0,0.0,6,easy,0,full,False,1554480000000.0,,,111521.0,45816.0,,77c580bf,False
45,3M1CVSFP61CQ9T5DU4PIM2UMHM2QAV,45,A1GFS4DE38SYBL,,,14.0,0.0,10,hard,0,pruned,False,1554480000000.0,,,158490.0,102731.0,,e0e580d6,False
46,3F6HPJW4JE76ON6VTYV989TATZRW2Y,46,AIK9IRPT4M848,,,19.0,4.0,10,hard,0,pruned,True,1554480000000.0,,,230651.0,50781.0,,9be580e5,True
47,3TXMY6UCAFVE282BEIL9SXKAHPNQCX,47,A15LHHN76OW2UM,,,6.0,4.0,6,easy,0,pruned,True,1554480000000.0,,,81269.0,39175.0,,b7c58103,True
48,3KOPY89HM9993L2FQZQZ2T4UXHJ3JM,48,A34UER5ZQ5APMB,,,8.0,0.0,10,medium,0,full,False,1554480000000.0,,,88365.0,32652.0,,eef58225,False
49,37U1UTWH9WTC26RYALU4V1YWNK58RB,49,A19ZWBQT8A3LIR,,,19.0,0.0,10,medium,0,full,False,1554480000000.0,,,321811.0,33628.0,,7ab580f1,False
50,3OXV7EAXLFXXFQN86GWATPZPBBZ63J,50,AZXRWSMDC8FJN,,,31.0,6.0,10,medium,0,pruned,True,1554480000000.0,,,166012.0,28443.0,,32a581e0,True
