userid,key,value,boardSize,condition,boardType,time
93c55a1b,click_sim,"[[2,1,2,2,0,2],[0,2,1,1,2,1],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,1],[0,0,0,0,0,0]]",6,pruned,easy,1562336366648
93c55a1b,clickPos_sim,0_0_2,6,pruned,easy,1562336366650
93c55a1b,validationTime,25009,6,pruned,easy,1562336373157
93c55a1b,validatedCorrect,TRUE,6,pruned,easy,1562336373158
93c55a1b,solvedCorrect,TRUE,6,pruned,easy,1562336373159
93c55a1b,numActionsSolve,54,6,pruned,easy,1562336373159
93c55a1b,numActionsValidate,3,6,pruned,easy,1562336373160
9bb58b0e,new_user,9bb58b0e,6,pruned,easy,1562348302809
9bb58b0e,experimentalCondition,6_pruned_easy,6,pruned,easy,1562348302815
9bb58b0e,boardSize,6,6,pruned,easy,1562348302820
9bb58b0e,difficulty,easy,6,pruned,easy,1562348302824
9bb58b0e,condition,pruned,6,pruned,easy,1562348302827
9bb58b0e,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",6,pruned,easy,1562348302829
9bb58b0e,gender,male,6,pruned,easy,1562348317428
9bb58b0e,education,3,6,pruned,easy,1562348317431
9bb58b0e,age,24,6,pruned,easy,1562348317433
9cf22841,new_user,9cf22841,6,pruned,easy,1558194241825
9cf22841,experimentalCondition,6_pruned_easy,6,pruned,easy,1558194241826
9cf22841,boardSize,6,6,pruned,easy,1558194241827
9cf22841,condition,pruned,6,pruned,easy,1558194241828
9cf22841,difficulty,easy,6,pruned,easy,1558194241828
9cf22841,start_position,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",6,pruned,easy,1558194241829
9cf22841,gender,male,6,pruned,easy,1558194260737
9cf22841,education,2,6,pruned,easy,1558194260737
9cf22841,age,56,6,pruned,easy,1558194260738
9cf22841,timeInstructions,34239,6,pruned,easy,1558194294977
9cf22841,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194294999
9cf22841,timeQuiz,152780,6,pruned,easy,1558194447758
9cf22841,timeInstructions,156107,6,pruned,easy,1558194451085
9cf22841,start,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194451104
9cf22841,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194457776
9cf22841,clickPos_practice,3_1_1,6,pruned,easy,1558194457776
9cf22841,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194460512
9cf22841,clickPos_practice,3_4_2,6,pruned,easy,1558194460512
9cf22841,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[1,1,1,1,2,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194462368
9cf22841,clickPos_practice,3_0_1,6,pruned,easy,1558194462368
9cf22841,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194465513
9cf22841,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194465517
9cf22841,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194467944
9cf22841,clickPos_practice,3_1_1,6,pruned,easy,1558194467944
9cf22841,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194468819
9cf22841,clickPos_practice,3_0_2,6,pruned,easy,1558194468819
9cf22841,click_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[2,1,1,1,1,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194469824
9cf22841,clickPos_practice,3_4_1,6,pruned,easy,1558194469825
9cf22841,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194471048
9cf22841,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194471053
9cf22841,timeQuiz,24495,6,pruned,easy,1558194475581
9cf22841,quiz1,2,6,pruned,easy,1558194475582
9cf22841,quiz3,3,6,pruned,easy,1558194475583
9cf22841,quiz2,2,6,pruned,easy,1558194475583
9cf22841,quiz4,c1,6,pruned,easy,1558194475584
9cf22841,quiz5,b4,6,pruned,easy,1558194475584
9cf22841,quiz6,b3,6,pruned,easy,1558194475585
9cf22841,quiz6v,0,6,pruned,easy,1558194475585
9cf22841,passedQuiz,TRUE,6,pruned,easy,1558194475586
9cf22841,board,"{canvasContainerDiv:#canvas-container,nrows:6,ncols:6,cellSize:46,position:[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]],nextPlayer:1,streak:4,turns:3,winPath:[[[1,5],[2,5],[4,5]]],losePath:[[[1,4],[0,5]]],winMove:[f5,F5,5F,5F]}",6,pruned,easy,1558194475586
9cf22841,reset_practice,"[[2,0,0,0,0,1],[0,0,0,0,0,0],[0,0,0,2,0,0],[0,0,1,1,0,2],[0,0,0,0,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194475591
9cf22841,start,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194475602
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,1],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194523164
9cf22841,clickPos,2_5_1,6,pruned,easy,1558194523165
9cf22841,undoPos,2_5_2,6,pruned,easy,1558194541798
9cf22841,undo,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194541798
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,1,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194542468
9cf22841,clickPos,4_4_1,6,pruned,easy,1558194542469
9cf22841,click,"[[0,1,2,2,2,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,1,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194550373
9cf22841,clickPos,0_4_2,6,pruned,easy,1558194550373
9cf22841,reset,"[[0,1,2,2,0,0],[0,2,1,1,0,0],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194554829
9cf22841,click,"[[0,1,2,2,0,0],[0,2,1,1,0,1],[1,2,2,2,1,0],[2,0,1,1,2,1],[1,0,2,2,0,0],[0,0,0,0,0,0]]",6,pruned,easy,1558194556821
